nombre,latitud,longitud,administracion_zonal,parroquia,area_km2,densidad_puntos,nivel_necesidad
CANCHA LIGA QUITO NORTE,-0.125053,-78.49816,LA DELICIA,COTOCOLLAO,10.0,1.8,3
ECOVIA GUAYANAY ÑAN,-0.3055485,-78.5430978,QUITUMBE,QUITUMBE,10.0,6.2,2
GRUTA DEL DIVINO NIÑO LA FLORIDA,-0.366893,-78.499958,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
CANCHA SAN FRANSCISCO DE CONOCOTO,-0.3253942,-78.4763637,LOS CHILLOS,CONOCOTO,50.0,0.72,3
BARTOLOME DE LA ROSA LA DELICIA,-0.08955,-78.46804,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
PARQUE DE ZAMBIZA,-0.1480693,-78.4406423,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
ECOVIA MANUELA CAÑIZARES,-0.2050626,-78.4907937,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
TROLE LA VILLAFLORA,-0.24441,-78.5186321,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
IGLESIA SAGRADOS CORAZONES BELLAVISTA,-0.188198,-78.473481,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PARQUE ELOY ALFARO,-0.2427779,-78.5095725,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CANCHA DE USO MULTIPLE ROJAS,-0.2164259,-78.4308246,TUMBACO,CUMBAYA,26.51,0.6035458317615994,4
CALDERON,-0.1005311,-78.4231872,CALDERON,CALDERON,30.0,4.566666666666666,2
LIGA DEPORTIVA BARRIAL TAMBOLLACTA,-0.289903,-78.542357,QUITUMBE,QUITUMBE,10.0,6.2,2
TROLE CHIMBACALLE,-0.2398157,-78.5169446,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
LIGA DEPORTIVA BARRIAL LOS ANDES,-0.2919071,-78.5655982,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
