nombre,lat,lng,az,parroquia
PARQUE TUNGURAHUA,-0.1109,-78.4489,CALDERON,CALDERON
AREA RECREATIVA CARAPUNGO,-0.0893,-78.4515,CALDERON,CALDERON
CANCHA LLANO CHICO,-0.1226,-78.4542,CALDERON,LLANO CHICO
METRO SOLANDA,-0.265985,-78.535305,ELOY ALFARO,SOLANDA
PARQUE EL POBRE DIABLO,-0.265075,-78.537439,ELOY ALFARO,SOLANDA
PARQUE EL POBRE DIABLO,-0.243306,-78.512668,ELOY ALFARO,CHIMBACALLE
UPC YAGUACHI,-0.233868,-78.528257,ELOY ALFARO,CHILIBULO
PARQUE SOLANDA SECTOR 2,-0.2655,-78.5376,ELOY ALFARO,SOLANDA
CENTRO DE SALUD JESUS DEL GRAN PODER,-0.232969,-78.536369,ELOY ALFARO,CHILIBULO
MERCADO DE CHIMBACALLE,-0.24006,-78.514246,ELOY ALFARO,CHIMBACALLE
INSTITUTO DE AUDICION Y LENGUAJE ENRIQUETA SANTILLAN,-0.258746,-78.549521,ELOY ALFARO,LA MENA
COLEGIO REPLICA 24 DE MAYO,-0.257152,-78.550219,ELOY ALFARO,LA MENA
MENA DOS,-0.256741,-78.552414,ELOY ALFARO,LA MENA
CASA COMUNAL SANTA BARBARA,-0.267886,-78.559528,ELOY ALFARO,LA MENA
UPC LA SANTIAGO,-0.251358,-78.539075,ELOY ALFARO,CHILIBULO
PARQUE CIUDADELA EL COMERCIO,-0.273815,-78.543166,ELOY ALFARO,SOLANDA
PLAZA LA MADGALENA,-0.241055,-78.531791,ELOY ALFARO,LA MAGDALENA
COLEGIO SUCRE,-0.26443,-78.526782,ELOY ALFARO,SAN BARTOLO
LIGA DEPORTIVA AMISTAD,-0.249107,-78.521927,ELOY ALFARO,LA MAGDALENA
PARQUE QUITO SUR,-0.257428,-78.53151,ELOY ALFARO,SAN BARTOLO
CASA BARRIAL EL CALZADO,-0.254816,-78.528642,ELOY ALFARO,SAN BARTOLO
LA GATAZO,-0.260189,-78.544044,ELOY ALFARO,SAN BARTOLO
PARQUE DE LA MADRE,-0.268429,-78.543241,ELOY ALFARO,SOLANDA
CIUDADELA CASAS QUITO,-0.272397,-78.530493,ELOY ALFARO,SOLANDA
LIGA BARRIAL SAN JOSE LA MAGDALENA,-0.244206,-78.526674,ELOY ALFARO,LA MAGDALENA
ECOVIA CHIMBACALLE,-0.245156,-78.515418,ELOY ALFARO,CHIMBACALLE
MERCADO DE IÑAQUITO,-0.172118,-78.486845, EUGENIO ESPEJO ,IÑAQUITO
PARQUE MEXICO,-0.18184,-78.474544, EUGENIO ESPEJO ,IÑAQUITO
ESTADIO SAN JOSE DE MINAS,0.1758,-78.4051, EUGENIO ESPEJO ,SAN JOSE DE MINAS
LIGA BARRIAL LA COMUNA,-0.190979,-78.512011,LA MARISCAL,BELISARIO QUEVEDO
PISCINA SAN JOSE DE MINAS,0.1755942,-78.4059584, EUGENIO ESPEJO ,SAN JOSE DE MINAS
PARQUE SAN JOSE DE MINAS,0.171206,-78.41073, EUGENIO ESPEJO ,SAN JOSE DE MINAS
